CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_goblin_auction_house;Goblin Auction House;Hotel des Ventes Gobelin;Goblin-Auktionshaus;;Casa de Subastas Goblin;;;;;;;;;x
ca_goblin_auction_house_desc;A bustling auction house run by goblin auctioneers. Goods from across Azeroth change hands here for a modest cut. Time is money, friend!;Un hotel des ventes anime gere par des commissaires-priseurs gobelins. Les marchandises de tout Azeroth changent de mains ici. Le temps c'est de l'argent, ami !;Ein geschäftiges Auktionshaus. Zeit ist Geld, Freund!;;Una animada casa de subastas goblin. El tiempo es oro, amigo!;;;;;;;;;x
ca_goblin_engineering_shop;Goblin Engineering Shop;Atelier d'Ingenierie Gobeline;Goblin-Ingenieursanlage;;Taller de Ingenieria Goblin;;;;;;;;;x
ca_goblin_engineering_shop_desc;An explosive workshop where goblin engineers craft dangerous but profitable inventions. Rocket boots, explosive sheep, and other goblin specialties are manufactured here.;Un atelier explosif ou les ingenieurs gobelins fabriquent des inventions dangereuses mais rentables. Bottes fusees, moutons explosifs et autres specialites gobelins.;Explosive Werkstatt fur gefahrliche aber profitable Goblin-Erfindungen.;;Taller explosivo donde ingenieros goblin crean inventos peligrosos pero rentables.;;;;;;;;;x
ca_goblin_bank;Goblin Central Bank;Banque Centrale Gobeline;Goblin-Zentralbank;;Banco Central Goblin;;;;;;;;;x
ca_goblin_bank_desc;A heavily guarded goblin bank that manages investments across the realm. The Bilgewater Cartel guarantees your deposits... for a fee. Interest rates are negotiable (in the goblins' favor).;Une banque gobeline lourdement gardee qui gere les investissements du royaume. Le Cartel des Eaux-Sombres garantit vos depots... moyennant des frais.;Schwer bewachte Goblin-Bank. Zinsen sind verhandelbar (zugunsten der Goblins).;;Un banco goblin custodiado que gestiona inversiones. El Cartel garantiza tus depositos... por una comision.;;;;;;;;;x
ca_dwarven_deep_mine;Dwarven Deep Mine;Mine Profonde Naine;Zwergische Tiefenmine;;Mina Profunda Enana;;;;;;;;;x
ca_dwarven_deep_mine_desc;A masterfully engineered deep mine that reaches rich veins of mithril, thorium, and dark iron ore. Dwarven mining expertise extracts wealth from the deepest mountains.;Une mine profonde magistralement construite qui atteint de riches filons de mithril, thorium et minerai de fer noir. L'expertise miniere naine extrait la richesse des montagnes les plus profondes.;Meisterhaft angelegte Tiefenmine mit reichen Mithril- und Thoriumadern.;;Una mina profunda magistralmente construida que alcanza vetas de mithril, torio y hierro oscuro.;;;;;;;;;x
ca_dwarven_master_forge;Dwarven Master Forge;Forge Maitre Naine;Zwergische Meisterschmiede;;Forja Maestra Enana;;;;;;;;;x
ca_dwarven_master_forge_desc;The finest forge outside of Ironforge itself, where master smiths craft legendary weapons and armor. The heat of the forge never dims, and the ring of hammer on anvil echoes day and night.;La plus belle forge en dehors de Forgefer elle-meme, ou les maitres forgerons fabriquent des armes et armures legendaires.;Die feinste Schmiede ausserhalb Eisenschmiededs. Meisterschmiede bei Tag und Nacht.;;La mejor forja fuera de Ironforge donde maestros herreros crean armas legendarias.;;;;;;;;;x
ca_dwarven_brewery;Dwarven Brewery;Brasserie Naine;Zwergische Brauerei;;Cerveceria Enana;;;;;;;;;x
ca_dwarven_brewery_desc;A grand brewery producing the finest ales, meads, and stouts in all of Azeroth. Dwarven brew boosts morale, strengthens friendships, and keeps the population happy (and slightly drunk).;Une grande brasserie produisant les meilleures bieres, hydromel et stouts de tout Azeroth. La biere naine remonte le moral et garde la population heureuse (et legerement ivre).;Grossbrauerei fur die besten Biere von ganz Azeroth. Hebt die Moral.;;Una gran cerveceria que produce las mejores cervezas de Azeroth. Sube la moral.;;;;;;;;;x
ca_moonwell;Moonwell;Puits de Lune;Mondbrunnen;;Pozo de Luna;;;;;;;;;x
ca_moonwell_desc;A sacred moonwell blessed by Elune, the moon goddess. Its waters heal the sick, purify corruption, and strengthen the connection to nature. The ancient night elf tradition maintained since before the Sundering.;Un puits de lune sacre beni par Elune, la deesse de la lune. Ses eaux guerissent les malades, purifient la corruption et renforcent le lien avec la nature.;Ein heiliger Mondbrunnen, gesegnet von Elune. Seine Wasser heilen und reinigen.;;Un pozo de luna sagrado bendecido por Elune. Sus aguas curan y purifican.;;;;;;;;;x
ca_ancient_of_lore;Ancient of Lore;Ancien du Savoir;Uralter des Wissens;;Ancestral del Saber;;;;;;;;;x
ca_ancient_of_lore_desc;A massive living tree-spirit that serves as a library and place of learning. The Ancient of Lore holds millennia of night elf wisdom in its branches and whispers ancient knowledge to those who listen.;Un immense esprit-arbre vivant servant de bibliotheque et lieu d'apprentissage. L'Ancien du Savoir contient des millenaires de sagesse elfique dans ses branches.;Ein gewaltiger lebender Baumgeist als Bibliothek. Jahrtausende des Wissens in seinen Asten.;;Un enorme espiritu-arbol que sirve como biblioteca. Milenios de sabiduria en sus ramas.;;;;;;;;;x
ca_elven_lumber_mill;Enchanted Lumber Mill;Scierie Enchantee;Verzauberte Sagemuhle;;Aserradero Encantado;;;;;;;;;x
ca_elven_lumber_mill_desc;A lumber mill that harvests wood in harmony with nature, using druidic magic to regrow trees as fast as they are felled. The enchanted wood produced is stronger than steel and lighter than oak.;Une scierie qui recolte le bois en harmonie avec la nature, utilisant la magie druidique pour faire repousser les arbres aussi vite qu'ils sont abattus.;Sagemuhle im Einklang mit der Natur. Druiden lassen Baume nachwachsen.;;Aserradero en armonia con la naturaleza. La magia druidica hace crecer arboles.;;;;;;;;;x
ca_human_merchant_guild;Merchant Guild;Guilde Marchande;Handlersgilde;;Gremio de Mercaderes;;;;;;;;;x
