#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
hoa_chancellor_negotiate_treaty;Send Chancellor to Negotiate Treaty;Envoyer le Chancelier negocier un traite;Kanzler zur Vertragsverhandlung entsenden;;Enviar al Canciller a negociar un tratado;;;;;;;;;x
hoa_chancellor_negotiate_treaty_desc;Order your chancellor to negotiate a trade treaty with a neighboring realm. Success depends on the chancellor's diplomacy skill.;Ordonnez a votre chancelier de negocier un traite commercial avec un royaume voisin.;Befehlt eurem Kanzler, einen Handelsvertrag mit einem Nachbarreich auszuhandeln.;;Ordena a tu canciller negociar un tratado comercial con un reino vecino.;;;;;;;;;x
hoa_chancellor_organize_summit;Organize Diplomatic Summit;Organiser un Sommet Diplomatique;Diplomatischen Gipfel organisieren;;Organizar Cumbre Diplomatica;;;;;;;;;x
hoa_chancellor_organize_summit_desc;Host a grand diplomatic summit. Your chancellor invites rulers from neighboring realms.;Organisez un grand sommet diplomatique. Votre chancelier invite les dirigeants voisins.;Veranstaltet einen grossen diplomatischen Gipfel.;;Organiza una gran cumbre diplomatica.;;;;;;;;;x
hoa_chancellor_diplomatic_network;Establish Diplomatic Network;Etablir un Reseau Diplomatique;Diplomatisches Netzwerk aufbauen;;Establecer Red Diplomatica;;;;;;;;;x
hoa_chancellor_diplomatic_network_desc;Your skilled chancellor establishes a network of diplomatic contacts across the realm.;Votre chancelier talentueux etablit un reseau de contacts diplomatiques.;Euer geschickter Kanzler baut ein Netzwerk diplomatischer Kontakte auf.;;Tu habil canciller establece una red de contactos diplomaticos.;;;;;;;;;x
hoa_steward_audit_realm;Order Realm Audit;Ordonner un Audit du Royaume;Reichsaudit anordnen;;Ordenar Auditoria del Reino;;;;;;;;;x
hoa_steward_audit_realm_desc;Send your steward to audit the realm's provinces, uncovering opportunities and corruption.;Envoyez votre intendant auditer les provinces du royaume.;Schickt euren Verwalter, um die Provinzen des Reiches zu prufen.;;Envia a tu administrador a auditar las provincias del reino.;;;;;;;;;x
hoa_steward_special_tax;Levy Special Tax;Lever un Impot Special;Sondersteuer erheben;;Recaudar Impuesto Especial;;;;;;;;;x
hoa_steward_special_tax_desc;Your steward collects a one-time special tax from all vassals.;Votre intendant collecte un impot exceptionnel aupres des vassaux.;Euer Verwalter erhebt eine einmalige Sondersteuer.;;Tu administrador recauda un impuesto especial de los vasallos.;;;;;;;;;x
hoa_steward_efficient_treasury;Reorganize Treasury;Reorganiser le Tresor;Schatzkammer reorganisieren;;Reorganizar el Tesoro;;;;;;;;;x
hoa_steward_efficient_treasury_desc;Your skilled steward streamlines the realm's finances for greater efficiency.;Votre intendant competent optimise les finances du royaume.;Euer geschickter Verwalter optimiert die Finanzen.;;Tu habil administrador optimiza las finanzas del reino.;;;;;;;;;x
hoa_spy_infiltrate_court;Infiltrate Foreign Court;Infiltrer une Cour Etrangere;Fremden Hof infiltrieren;;Infiltrar Corte Extranjera;;;;;;;;;x
hoa_spy_infiltrate_court_desc;Send your spymaster to infiltrate a neighboring ruler's court and gather intelligence.;Envoyez votre maitre-espion infiltrer la cour d'un voisin.;Schickt euren Spionagemeister in einen Nachbarhof.;;Envia a tu maestro de espias a infiltrar la corte de un vecino.;;;;;;;;;x
hoa_spy_sabotage_economy;Sabotage Enemy Economy;Saboter l'Economie Ennemie;Feindliche Wirtschaft sabotieren;;Sabotear Economia Enemiga;;;;;;;;;x
hoa_spy_sabotage_economy_desc;Your spymaster conducts covert operations to disrupt a rival's economic infrastructure.;Votre maitre-espion conduit des operations pour perturber l'economie ennemie.;Euer Spionagemeister fuhrt verdeckte Operationen durch.;;Tu maestro de espias conduce operaciones contra la economia enemiga.;;;;;;;;;x
hoa_spy_shadow_network;Build Shadow Network;Construire un Reseau d'Ombres;Schattennetzwerk aufbauen;;Construir Red de Sombras;;;;;;;;;x
