CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
hoa_forge_weapon_uncommon;Forge Equipment (Uncommon);Forger un Equipement (Peu Commun);Ausrustung schmieden (Ungewohnlich);;Forjar Equipo (Poco Comun);;;;;;;;;x
hoa_forge_weapon_uncommon_desc;Commission a blacksmith to forge a weapon, armor, or piece of jewelry. The result depends on our skills and resources.;Commander a un forgeron de forger une arme, une armure ou un bijou. Le resultat depend de nos competences et ressources.;Einen Schmied beauftragen.;;Encargar a un herrero.;;;;;;;;;x
hoa_forge_weapon_rare;Forge Superior Equipment (Rare);Forger un Equipement Superieur (Rare);Uberlegene Ausrustung schmieden (Selten);;Forjar Equipo Superior (Raro);;;;;;;;;x
hoa_forge_weapon_rare_desc;Commission a master craftsman to forge superior equipment. Requires significant investment and proven skill.;Commander a un maitre artisan de forger un equipement superieur. Necessite un investissement significatif et des competences prouvees.;Einen Meisterschmied beauftragen.;;Encargar a un maestro artesano.;;;;;;;;;x
hoa_forge_masterwork;Forge Masterwork Weapon (Epic);Forger une Arme de Maitre (Epique);Meisterwerk schmieden (Episch);;Forjar Arma Maestra (Epica);;;;;;;;;x
hoa_forge_masterwork_desc;Only the greatest smiths of Azeroth - the dwarves and goblins - can create weapons of this caliber. A masterwork weapon is a symbol of true power.;Seuls les plus grands forgerons d'Azeroth - les nains et les gobelins - peuvent creer des armes de ce calibre. Une arme de maitre est un symbole de vrai pouvoir.;Nur die grossten Schmiede von Azeroth konnen solche Waffen schaffen.;;Solo los mejores herreros de Azeroth pueden crear armas de este calibre.;;;;;;;;;x
hoa_enchant_weapon;Enchant Equipped Weapon;Enchanter l'Arme Equipee;Ausgerustete Waffe verzaubern;;Encantar Arma Equipada;;;;;;;;;x
hoa_enchant_weapon_desc;Use arcane magic to imbue our currently equipped weapon with additional power. Requires magical knowledge.;Utiliser la magie arcanique pour imprégner notre arme equipee de pouvoir supplementaire. Necessite des connaissances magiques.;Arkane Magie nutzen, um unsere Waffe zu verstarken.;;Usar magia arcana para imbuir nuestra arma con poder adicional.;;;;;;;;;x
hoa_disenchant_artifact;Disenchant an Artifact;Desenchanter un Artefact;Artefakt entzaubern;;Desencantar un Artefacto;;;;;;;;;x
hoa_disenchant_artifact_desc;Destroy an unequipped artifact to extract its magical essence, converting it to gold and prestige. Higher quality yields more.;Detruire un artefact non equipe pour extraire son essence magique, le convertissant en or et prestige. Une qualite plus elevee rapporte plus.;Ein nicht ausgerustetes Artefakt zerstoren, um seine Essenz zu extrahieren.;;Destruir un artefacto no equipado para extraer su esencia magica.;;;;;;;;;x
