CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
hoa_dungeon.1.desc;Rumors speak of dark powers gathering in the depths of Azeroth. Ancient dungeons filled with treasure and danger await those brave enough to venture within. Your skills as a hero of the realm may be put to the ultimate test.;Des rumeurs parlent de puissances sombres se rassemblant dans les profondeurs d'Azeroth. D'anciens donjons remplis de tresors et de dangers attendent ceux assez courageux pour s'y aventurer.;Geruchte uber dunkle Machte in den Tiefen von Azeroth...;;Rumores de poderes oscuros en las profundidades de Azeroth...;;;;;;;;;x
hoa_dungeon.1.a;Lead an expedition into the Molten Core to face Ragnaros the Firelord!;Mener une expedition dans le Coeur du Magma pour affronter Ragnaros le Seigneur du Feu !;Expedition in den Geschmolzenen Kern!;;Expedition al Nucleo de Magma!;;;;;;;;;x
hoa_dungeon.1.b;Venture into Blackwing Lair to slay Nefarian, the son of Deathwing!;S'aventurer dans le Repaire de l'Aile Noire pour tuer Nefarian, fils d'Aile de Mort !;Expedition in den Pechschwingenhort!;;Aventurarse en la Guarida de Alanegra!;;;;;;;;;x
hoa_dungeon.1.c;Brave the horrors of Naxxramas to defeat the Archlich Kel'Thuzad!;Braver les horreurs de Naxxramas pour vaincre l'Archliche Kel'Thuzad !;Die Schrecken von Naxxramas bezwingen!;;Desafiar los horrores de Naxxramas!;;;;;;;;;x
hoa_dungeon.1.d;This is not the time for such perilous adventures.;Ce n'est pas le moment pour de telles aventures perilleuses.;Dies ist nicht die Zeit fur solch gefahrliche Abenteuer.;;No es momento para aventuras tan peligrosas.;;;;;;;;;x
hoa_dungeon.10.desc;Your expedition into the Molten Core has concluded. The fires of Ragnaros' domain have tested your resolve. The outcome depends on your strength, skill, and the blessings of fate.;Votre expedition dans le Coeur du Magma est terminee. Les feux du domaine de Ragnaros ont mis votre determination a l'epreuve.;Ihre Expedition in den Geschmolzenen Kern ist beendet.;;Su expedicion al Nucleo de Magma ha concluido.;;;;;;;;;x
hoa_dungeon.10.a;BY FIRE BE PURGED! Ragnaros has fallen! We claim his treasures!;PAR LE FEU SOYEZ PURIFIES ! Ragnaros est tombe ! Nous reclamons ses tresors !;Ragnaros ist gefallen!;;Ragnaros ha caido!;;;;;;;;;x
hoa_dungeon.10.b;We fought bravely but could not reach the Firelord. We return with some spoils.;Nous avons combattu bravement mais n'avons pas pu atteindre le Seigneur du Feu. Nous revenons avec quelques butins.;Wir konnten den Feuerlord nicht erreichen.;;Luchamos valientemente pero no pudimos llegar al Senor del Fuego.;;;;;;;;;x
hoa_dungeon.10.c;The flames proved too fierce. We barely escaped with our lives.;Les flammes se sont averees trop ferocees. Nous avons a peine echappe avec nos vies.;Die Flammen waren zu heftig.;;Las llamas fueron demasiado feroces.;;;;;;;;;x
hoa_dungeon.10.d;A catastrophic defeat. Ragnaros' minions overwhelmed us completely.;Une defaite catastrophique. Les serviteurs de Ragnaros nous ont completement submerges.;Eine katastrophale Niederlage.;;Una derrota catastrofica.;;;;;;;;;x
hoa_dungeon.20.desc;Your expedition into Blackwing Lair, the domain of Nefarian, has concluded. The black dragonflight's power is formidable.;Votre expedition dans le Repaire de l'Aile Noire, domaine de Nefarian, est terminee. La puissance du vol noir est formidable.;Ihre Expedition in den Pechschwingenhort ist beendet.;;Su expedicion a la Guarida de Alanegra ha concluido.;;;;;;;;;x
hoa_dungeon.20.a;Nefarian's head is ours! The black dragonflight is diminished!;La tete de Nefarian est a nous ! Le vol noir est affaibli !;Nefarians Kopf gehort uns!;;La cabeza de Nefarian es nuestra!;;;;;;;;;x
hoa_dungeon.20.b;We fought through many of Nefarian's minions but the dragon himself escaped.;Nous avons combattu de nombreux serviteurs de Nefarian mais le dragon lui-meme s'est echappe.;Nefarian selbst ist entkommen.;;Nefarian mismo escapo.;;;;;;;;;x
hoa_dungeon.20.c;The black dragonflight's defenses were too strong.;Les defenses du vol noir etaient trop puissantes.;Die Verteidigung war zu stark.;;Las defensas fueron demasiado fuertes.;;;;;;;;;x
hoa_dungeon.20.d;We were utterly routed. The black dragons showed no mercy.;Nous avons ete completement mis en deroute. Les dragons noirs n'ont montre aucune pitie.;Wir wurden vollstandig geschlagen.;;Fuimos completamente derrotados.;;;;;;;;;x
