CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
hoa_guilde_enchanteurs_1;Enchanters Guild;Guilde des Enchanteurs;Verzauberergilde;;Gremio de Encantadores;;;;;;;;;x
hoa_guilde_enchanteurs_2;Superior Enchanters Guild;Guilde des Enchanteurs Superieure;Ueberlegene Verzauberergilde;;Gremio de Encantadores Superior;;;;;;;;;x
hoa_guilde_enchanteurs_3;Grand Enchanters Guild;Grande Guilde des Enchanteurs;Grosse Verzauberergilde;;Gran Gremio de Encantadores;;;;;;;;;x
hoa_guilde_enchanteurs_desc;A guild where talented enchanters imbue weapons, armor and jewelry with magical properties. Customers flock from all of Azeroth. Disenchanting available: transform unwanted magical items into precious essences and shards.;Une guilde ou les enchanteurs les plus talentueux impregnent armes, armures et bijoux de proprietes magiques. Les clients affluent de tout Azeroth pour faire enchanter leur equipement.;Eine Gilde, in der talentierte Verzauberer Waffen, Ruestungen und Schmuck mit magischen Eigenschaften versehen. Kunden stroemen aus ganz Azeroth herbei. Entzauberung verfuegbar: Verwandeln Sie unerwuenschte magische Gegenstaende in wertvolle Essenzen und Splitter.;;Un gremio donde encantadores talentosos imbuyen armas, armaduras y joyas con propiedades magicas. Los clientes acuden de todo Azeroth. Desencantamiento disponible: transforme objetos magicos no deseados en esencias y fragmentos valiosos.;;;;;;;;;x
hoa_labo_alchimie_1;Alchemy Laboratory;Laboratoire d'Alchimie;Alchemielabor;;Laboratorio de Alquimia;;;;;;;;;x
hoa_labo_alchimie_2;Advanced Alchemy Laboratory;Laboratoire d'Alchimie Avance;Fortgeschrittenes Alchemielabor;;Laboratorio de Alquimia Avanzado;;;;;;;;;x
hoa_labo_alchimie_3;Grand Alchemy Laboratory;Grand Laboratoire d'Alchimie;Grosses Alchemielabor;;Gran Laboratorio de Alquimia;;;;;;;;;x
hoa_labo_alchimie_desc;A laboratory where alchemists brew healing potions, strength elixirs, protection flasks and metal transmutations. Alchemy combines herbalist knowledge and magic to produce high-value concoctions.;Un laboratoire ou les alchimistes preparent des potions de guerison, des elixirs de force, des flasques de protection et des transmutations de metaux.;Ein Labor, in dem Alchemisten Heiltranke, Staerkeelixiere, Schutzflaeschchen und Metalltransmutationen brauen. Alchemie verbindet Kraeuterkunde mit Magie fuer wertvolle Gebraue.;;Un laboratorio donde los alquimistas preparan pociones de curacion, elixires de fuerza, frascos de proteccion y transmutaciones de metales. La alquimia combina conocimiento herbalista y magia para producir brebajes de gran valor.;;;;;;;;;x
hoa_bureau_inscription_1;Inscription Bureau;Bureau d'Inscription;Inschriftenbuero;;Oficina de Inscripcion;;;;;;;;;x
hoa_bureau_inscription_2;Superior Inscription Bureau;Bureau d'Inscription Superieur;Ueberlegenes Inschriftenbuero;;Oficina de Inscripcion Superior;;;;;;;;;x
hoa_bureau_inscription_3;Grand Inscription Bureau;Grand Bureau d'Inscription;Grosses Inschriftenbuero;;Gran Oficina de Inscripcion;;;;;;;;;x
