CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#;;;;;;;;;;;;;x
# TIER 1 ARTIFACTS - Molten Core Sets;;;;;;;;;;;;;x
#;;;;;;;;;;;;;x
hoa_t1_warrior_crown;Helm of Might;Heaume de Puissance;Helm der Macht;;Yelmo de Poder;;;;;;;;;x
hoa_t1_warrior_crown_desc;The iconic horned helm of the Battlegear of Might, forged in the fires of Molten Core.;Le casque a cornes emblematique de l'Equipement de Puissance, forge dans les feux du Coeur du Magma.;Der ikonische Hornhelm der Machtausruestung, geschmiedet in den Feuern des Geschmolzenen Kerns.;;El iconico yelmo cornudo del Equipo de Poder, forjado en los fuegos del Nucleo de Magma.;;;;;;;;;x
hoa_t1_warrior_torso;Breastplate of Might;Plastron de Puissance;Brustplatte der Macht;;Coraza de Poder;;;;;;;;;x
hoa_t1_warrior_torso_desc;Heavy plate armor infused with the heat of Ragnaros's domain. Grants incredible endurance.;Armure de plaques lourde impregnee de la chaleur du domaine de Ragnaros. Confere une endurance incroyable.;Schwere Plattenruestung, durchdrungen von der Hitze von Ragnaros' Reich. Verleiht unglaubliche Ausdauer.;;Armadura de placas pesada impregnada del calor del dominio de Ragnaros. Otorga resistencia increible.;;;;;;;;;x
hoa_t1_warrior_wrist;Gauntlets of Might;Gantelets de Puissance;Panzerhandschuhe der Macht;;Guanteletes de Poder;;;;;;;;;x
hoa_t1_warrior_wrist_desc;Massive gauntlets that crackle with residual heat from the elemental plane of fire.;Gantelets massifs qui crepitent de chaleur residuelle du plan elementaire du feu.;Massive Panzerhandschuhe, die vor Resthitze der Feuerebene knistern.;;Guanteletes masivos que crepitan con calor residual del plano elemental de fuego.;;;;;;;;;x
hoa_t1_mage_crown;Arcanist Crown;Couronne d'Arcaniste;Arkanistenkrone;;Corona de Arcanista;;;;;;;;;x
hoa_t1_mage_crown_desc;A shimmering circlet of pure arcane energy, part of the legendary Arcanist Regalia.;Un diademe scintillant d'energie arcanique pure, partie de la legendaire Tenue d'Arcaniste.;Ein schimmernder Reif aus reiner arkaner Energie, Teil der legendaeren Arkanisten-Insignien.;;Una diadema reluciente de energia arcana pura, parte de la legendaria Vestimenta de Arcanista.;;;;;;;;;x
hoa_t1_mage_torso;Arcanist Robes;Robe d'Arcaniste;Arkanistenrobe;;Tunica de Arcanista;;;;;;;;;x
hoa_t1_mage_torso_desc;Robes woven with threads of concentrated arcane power, enhancing the wearer's magical abilities.;Robe tissee avec des fils de pouvoir arcanique concentre, ameliorant les capacites magiques du porteur.;Roben, gewebt mit Faeden konzentrierter arkaner Macht, die die magischen Faehigkeiten des Traegers verstaerken.;;Tunica tejida con hilos de poder arcano concentrado, mejorando las capacidades magicas del portador.;;;;;;;;;x
hoa_t1_mage_wrist;Arcanist Gloves;Gants d'Arcaniste;Arkanistenhandschuhe;;Guantes de Arcanista;;;;;;;;;x
hoa_t1_mage_wrist_desc;Elegant gloves that channel arcane energy through the wearer's fingertips with precision.;Gants elegants qui canalisent l'energie arcanique avec precision a travers les doigts du porteur.;Elegante Handschuhe, die arkane Energie praezise durch die Fingerspitzen des Traegers lenken.;;Guantes elegantes que canalizan energia arcana con precision a traves de los dedos del portador.;;;;;;;;;x
hoa_t1_paladin_crown;Crown of Lawbringer;Couronne du Porteur de Loi;Krone des Gesetzeshueters;;Corona del Legislador;;;;;;;;;x
hoa_t1_paladin_crown_desc;A golden helm radiating holy light, part of the sacred Lawbringer Armor set.;Un casque dore irradiant la Sainte Lumiere, partie du sacre ensemble d'Armure du Porteur de Loi.;Ein goldener Helm, der heiliges Licht ausstrahlt, Teil des heiligen Gesetzeshueter-Ruestungssets.;;Un yelmo dorado que irradia luz sagrada, parte del sacro conjunto de Armadura del Legislador.;;;;;;;;;x
hoa_t1_paladin_torso;Lawbringer Chestguard;Cuirasse du Porteur de Loi;Brustschutz des Gesetzeshueters;;Peto del Legislador;;;;;;;;;x
hoa_t1_paladin_torso_desc;Blessed plate armor imbued with the Light's protective grace. Shields allies and inspires faith.;Armure de plaques benie impregnee de la grace protectrice de la Lumiere. Protege les allies et inspire la foi.;Gesegnete Plattenruestung, durchdrungen von der schuetzenden Gnade des Lichts. Schuetzt Verbuendete und weckt Glauben.;;Armadura de placas bendecida imbuida con la gracia protectora de la Luz. Protege aliados e inspira la fe.;;;;;;;;;x
hoa_t1_rogue_crown;Nightslayer Cover;Coiffe du Tueur des Ombres;Nachtschlaechterhaube;;Capucha del Asesino Nocturno;;;;;;;;;x
hoa_t1_rogue_crown_desc;A shadowy hood that allows the wearer to blend into darkness, part of the Nightslayer Armor.;Une capuche ombreuse permettant de se fondre dans les tenebres, partie de l'Armure du Tueur des Ombres.;Eine schattenhafte Kapuze, die den Traeger in der Dunkelheit verschwinden laesst, Teil der Nachtschlaechter-Ruestung.;;Una capucha sombria que permite fundirse con la oscuridad, parte de la Armadura del Asesino Nocturno.;;;;;;;;;x
hoa_t1_rogue_torso;Nightslayer Chestpiece;Plastron du Tueur des Ombres;Bruststueck des Nachtschlaechters;;Pechera del Asesino Nocturno;;;;;;;;;x
hoa_t1_rogue_torso_desc;Dark leather armor stitched with shadow-infused thread, granting stealth and deadly precision.;Armure de cuir sombre cousue de fil infuse d'ombre, conferant furtivite et precision mortelle.;Dunkle Lederruestung, genaeht mit schattendurchdrungenen Faeden, verleiht Tarnung und toedliche Praezision.;;Armadura de cuero oscuro cosida con hilo infundido de sombras, otorgando sigilo y precision mortal.;;;;;;;;;x
hoa_t1_hunter_crown;Giantstalker's Helm;Heaume de Traque-Geant;Riesenjaegerhelm;;Yelmo del Acechagigantes;;;;;;;;;x
hoa_t1_hunter_crown_desc;A rugged helm designed for tracking prey across any terrain, part of the Giantstalker Armor.;Un casque robuste concu pour traquer des proies sur tout terrain, partie de l'Armure de Traque-Geant.;Ein robuster Helm zum Verfolgen von Beute ueber jedes Gelaende, Teil der Riesenjaegedruestung.;;Un yelmo robusto disenado para rastrear presas en cualquier terreno, parte de la Armadura del Acechagigantes.;;;;;;;;;x
hoa_t1_hunter_torso;Giantstalker's Breastplate;Cuirasse de Traque-Geant;Brustplatte des Riesenjaegers;;Coraza del Acechagigantes;;;;;;;;;x
hoa_t1_hunter_torso_desc;Mail armor reinforced with the hides of giant beasts, offering protection and freedom of movement.;Armure de mailles renforcee de peaux de betes geantes, offrant protection et liberte de mouvement.;Kettenruestung, verstaerkt mit Haeuten riesiger Bestien, bietet Schutz und Bewegungsfreiheit.;;Armadura de malla reforzada con pieles de bestias gigantes, ofreciendo proteccion y libertad de movimiento.;;;;;;;;;x
hoa_t1_shaman_crown;Earthfury Helm;Heaume de Furie Terrestre;Erdwuthelm;;Yelmo de Furia Terrestre;;;;;;;;;x
hoa_t1_shaman_crown_desc;A helm crackling with elemental energy, connecting the wearer to the spirit of the earth.;Un casque crepitant d'energie elementaire, connectant le porteur a l'esprit de la terre.;Ein Helm, der vor elementarer Energie knistert und den Traeger mit dem Geist der Erde verbindet.;;Un yelmo crepitante con energia elemental, conectando al portador con el espiritu de la tierra.;;;;;;;;;x
hoa_t1_shaman_torso;Earthfury Vestments;Vetements de Furie Terrestre;Erdwutgewand;;Vestiduras de Furia Terrestre;;;;;;;;;x
hoa_t1_shaman_torso_desc;Vestments imbued with the raw power of earth and storm, channeling the elements through the wearer.;Vetements impregnes de la puissance brute de la terre et de la tempete, canalisant les elements a travers le porteur.;Gewand, durchdrungen von der rohen Kraft von Erde und Sturm, leitet die Elemente durch den Traeger.;;Vestiduras impregnadas del poder bruto de la tierra y la tormenta, canalizando los elementos a traves del portador.;;;;;;;;;x
#;;;;;;;;;;;;;x
# TIER 2 ARTIFACTS - Blackwing Lair Sets (Epic);;;;;;;;;;;;;x
#;;;;;;;;;;;;;x
hoa_t2_warrior_crown;Helm of Wrath;Heaume de Courroux;Helm des Zorns;;Yelmo de Colera;;;;;;;;;x
hoa_t2_warrior_crown_desc;The fearsome horned helm of the Battlegear of Wrath, forged in Blackwing Lair. Strikes terror into enemies.;Le terrifiant casque a cornes de l'Equipement de Courroux, forge dans le Repaire de l'Aile Noire. Inspire la terreur.;Der furchterregende Hornhelm der Zornausruestung, geschmiedet in Pechschwingenhort. Jagt Feinden Angst ein.;;El temible yelmo cornudo del Equipo de Colera, forjado en Guarida Alanegra. Infunde terror en los enemigos.;;;;;;;;;x
hoa_t2_warrior_torso;Breastplate of Wrath;Plastron de Courroux;Brustplatte des Zorns;;Coraza de Colera;;;;;;;;;x
