CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
hoa_meditate;Meditate;Mediter;;;;;;;;;;;;x
hoa_meditate_desc;Spend time in quiet meditation or prayer to restore your mind and spirit.;Passez du temps en meditation silencieuse pour restaurer votre esprit.;;;;;;;;;;;;x
hoa_hold_private_court;Hold Private Court;Tenir Cour Privee;;;;;;;;;;;;x
hoa_hold_private_court_desc;Open your throne room for private audiences with petitioners and merchants.;Ouvrez votre salle du trone pour des audiences privees.;;;;;;;;;;;;x
hoa_write_memoirs;Write Memoirs;Ecrire ses Memoires;;;;;;;;;;;;x
hoa_write_memoirs_desc;Begin documenting your life story and the lessons you have learned.;Commencez a documenter votre histoire et les lecons apprises.;;;;;;;;;;;;x
hoa_seek_healing;Seek Healing;Chercher la Guerison;;;;;;;;;;;;x
hoa_seek_healing_desc;Seek out healers and remedies for your ailments.;Cherchez des guerisseurs et des remedes pour vos maux.;;;;;;;;;;;;x
hoa_night_patrol;Night Patrol;Patrouille de Nuit;;;;;;;;;;;;x
hoa_night_patrol_desc;Personally patrol your capital under cover of darkness.;Patrouiller personnellement votre capitale sous le couvert de l'obscurite.;;;;;;;;;;;;x
hoa_visit_library;Visit the Library;Visiter la Bibliotheque;;;;;;;;;;;;x
hoa_visit_library_desc;Spend time studying ancient texts and tomes in your library.;Passez du temps a etudier des textes anciens dans votre bibliotheque.;;;;;;;;;;;;x
hoa_confiscate_prisoner_goods;Confiscate Prisoner Goods;Confisquer les Biens des Prisonniers;;;;;;;;;;;;x
hoa_confiscate_prisoner_goods_desc;Strip all prisoners of their artifacts and valuables.;Depouiller tous les prisonniers de leurs artefacts et objets de valeur.;;;;;;;;;;;;x
hoa_inspect_armory;Inspect Armory;Inspecter l'Armurerie;;;;;;;;;;;;x
hoa_inspect_armory_desc;Review your personal collection of weapons and artifacts.;Passez en revue votre collection personnelle d'armes et artefacts.;;;;;;;;;;;;x
hoa_meditate_peace_tt;You find inner peace. Stress dissolves and your health improves.;Vous trouvez la paix interieure. Le stress se dissout.;;;;;;;;;;;;x
hoa_meditate_wisdom_tt;Deep meditation reveals hidden wisdom.;La meditation profonde revele une sagesse cachee.;;;;;;;;;;;;x
