#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
hoa_appease_faction;Appease Faction;Apaiser la Faction;Fraktion beschwichtigen;;Apaciguar Faccion;;;;;;;;;x
hoa_appease_faction_desc;Spend gold to calm dissatisfied vassals and prevent rebellion.;Depensez de l'or pour calmer les vassaux mecontents et prevenir la rebellion.;Gebt Gold aus, um unzufriedene Vasallen zu beruhigen.;;Gasta oro para calmar a los vasallos insatisfechos.;;;;;;;;;x
hoa_spy_on_factions;Spy on Factions;Espionner les Factions;Fraktionen bespitzeln;;Espiar Facciones;;;;;;;;;x
hoa_spy_on_factions_desc;Send your spymaster to uncover faction plots against you.;Envoyez votre maitre-espion decouvrir les complots factionnels.;Schickt euren Spionagemeister, um Fraktionskomplotte aufzudecken.;;Envia a tu maestro de espias a descubrir complots facciosos.;;;;;;;;;x
hoa_rally_loyalists;Rally Loyalists;Rallier les Loyalistes;Loyalisten sammeln;;Reunir Leales;;;;;;;;;x
hoa_rally_loyalists_desc;Inspire your loyal supporters to stand firm against dissent.;Inspirez vos partisans loyaux a rester fermes face a la dissidence.;Inspiriert eure loyalen Anhanger.;;Inspira a tus seguidores leales contra la disidencia.;;;;;;;;;x
hoa_faction_ultimatum;Deliver Ultimatum;Delivrer un Ultimatum;Ultimatum stellen;;Entregar Ultimatum;;;;;;;;;x
hoa_faction_ultimatum_desc;Confront a disloyal vassal: submit or face consequences.;Confrontez un vassal deloyal: soumettez-vous ou subissez les consequences.;Konfrontiert einen illoyalen Vasallen.;;Confronta a un vasallo desleal: someterse o enfrentar consecuencias.;;;;;;;;;x
hoa_faction.1.desc;You have spent gold to appease your dissatisfied vassals. The results are in.;Vous avez depense de l'or pour apaiser vos vassaux. Les resultats sont arrives.;Ihr habt Gold ausgegeben, um eure Vasallen zu beschwichtigen.;;Has gastado oro para apaciguar a tus vasallos insatisfechos.;;;;;;;;;x
hoa_faction.1.a;They are pleased!;Ils sont satisfaits!;Sie sind zufrieden!;;Estan satisfechos!;;;;;;;;;x
hoa_faction.1.b;Some are appeased.;Certains sont apaises.;Einige sind beschwichtigt.;;Algunos estan apaciguados.;;;;;;;;;x
hoa_faction.1.c;They took the gold and remained angry.;Ils ont pris l'or et sont restes en colere.;Sie nahmen das Gold und blieben zornig.;;Tomaron el oro y siguieron enfadados.;;;;;;;;;x
hoa_faction.5.desc;A powerful vassal demands concessions from you.;Un puissant vassal exige des concessions de votre part.;Ein machtiger Vasall verlangt Zugestandnisse.;;Un vasallo poderoso exige concesiones.;;;;;;;;;x
hoa_faction.5.a;Grant their demands.;Accordez leurs demandes.;Gewahrt ihre Forderungen.;;Conceded sus demandas.;;;;;;;;;x
hoa_faction.5.b;Refuse!;Refusez!;Lehnt ab!;;Rechazad!;;;;;;;;;x
hoa_faction.5.c;Counter-offer.;Contre-proposition.;Gegenangebot.;;Contraoferta.;;;;;;;;;x
hoa_faction.10.desc;Your spymaster returns with intelligence about faction activities.;Votre maitre-espion revient avec des renseignements sur les activites factionnelles.;Euer Spionagemeister kehrt mit Geheimdienstinformationen zuruck.;;Tu maestro de espias regresa con inteligencia sobre las facciones.;;;;;;;;;x
hoa_faction.10.a;Full intelligence report!;Rapport de renseignement complet!;Vollstandiger Geheimdienstbericht!;;Informe de inteligencia completo!;;;;;;;;;x
hoa_faction.10.b;Partial findings.;Resultats partiels.;Teilerkenntnisse.;;Hallazgos parciales.;;;;;;;;;x
hoa_faction.10.c;Nothing found.;Rien trouve.;Nichts gefunden.;;Nada encontrado.;;;;;;;;;x
hoa_faction.10.d;Our spying was detected!;Notre espionnage a ete detecte!;Unsere Spionage wurde entdeckt!;;Nuestro espionaje fue detectado!;;;;;;;;;x
hoa_faction.20.desc;You rally your loyalists with a stirring address.;Vous ralliez vos loyalistes avec un discours inspirant.;Ihr versammelt eure Loyalisten mit einer mitreissenden Ansprache.;;Reunes a tus leales con un discurso inspirador.;;;;;;;;;x
hoa_faction.20.a;For the realm!;Pour le royaume!;Fur das Reich!;;Por el reino!;;;;;;;;;x
hoa_faction.30.desc;Your liege has delivered an ultimatum: submit or face consequences.;Votre suzerain a delivre un ultimatum: soumettez-vous ou subissez les consequences.;Euer Lehnsherr hat ein Ultimatum gestellt.;;Tu senor ha entregado un ultimatum: someterse o enfrentar consecuencias.;;;;;;;;;x
hoa_faction.30.a;I submit...;Je me soumets...;Ich unterwerfe mich...;;Me someto...;;;;;;;;;x
hoa_faction.30.b;Never! I defy you!;Jamais! Je vous defie!;Niemals! Ich trotze euch!;;Jamas! Os desafio!;;;;;;;;;x
hoa_faction.30.c;Let us negotiate.;Negocions.;Lasst uns verhandeln.;;Negociemos.;;;;;;;;;x
hoa_faction.31.desc;Your vassal proposes a counter-deal: autonomy in exchange for loyalty.;Votre vassal propose un accord: autonomie en echange de loyaute.;Euer Vasall schlagt einen Gegenvorschlag vor.;;Tu vasallo propone un trato: autonomia a cambio de lealtad.;;;;;;;;;x
hoa_faction.31.a;Accept the deal.;Acceptez l'accord.;Akzeptiert den Handel.;;Aceptad el trato.;;;;;;;;;x
hoa_faction.31.b;Reject it.;Rejetez-le.;Lehnt ab.;;Rechazadlo.;;;;;;;;;x
hoa_faction.40.desc;A coalition of your vassals has risen against you! Civil war threatens!;Une coalition de vos vassaux s'est soulevee contre vous! La guerre civile menace!;Eine Koalition eurer Vasallen hat sich gegen euch erhoben!;;Una coalicion de vasallos se ha alzado contra ti!;;;;;;;;;x
hoa_faction.40.a;Negotiate peace.;Negociez la paix.;Verhandelt Frieden.;;Negociad la paz.;;;;;;;;;x
hoa_faction.40.b;Show of force!;Demonstration de force!;Machtdemonstration!;;Demostracion de fuerza!;;;;;;;;;x
hoa_faction.40.c;Prepare for war.;Preparez la guerre.;Bereitet den Krieg vor.;;Preparad la guerra.;;;;;;;;;x
hoa_faction.50.desc;A loyal vassal warns you about a brewing conspiracy.;Un vassal loyal vous avertit d'une conspiration imminente.;Ein loyaler Vasall warnt euch vor einer Verschworung.;;Un vasallo leal te advierte sobre una conspiracion.;;;;;;;;;x
hoa_faction.50.a;Useful intelligence. Reward them.;Renseignement utile. Recompensez-les.;Nutzliche Informationen. Belohnt sie.;;Inteligencia util. Recompensadlos.;;;;;;;;;x
hoa_establish_trade_route;Establish Trade Route;Etablir une Route Commerciale;Handelsroute errichten;;Establecer Ruta Comercial;;;;;;;;;x
hoa_establish_trade_route_desc;Invest in establishing a lasting trade route with a neighboring realm.;Investissez pour etablir une route commerciale durable avec un royaume voisin.;Investiert in eine dauerhafte Handelsroute mit einem Nachbarreich.;;Invierte en establecer una ruta comercial duradera con un reino vecino.;;;;;;;;;x
hoa_send_caravan;Send Trade Caravan;Envoyer une Caravane;Handelskarawane entsenden;;Enviar Caravana Comercial;;;;;;;;;x
hoa_send_caravan_desc;Send a caravan of goods for trade. Profitable but risky.;Envoyez une caravane de marchandises. Rentable mais risque.;Schickt eine Handelskarawane. Profitabel aber riskant.;;Envia una caravana de mercancias. Rentable pero arriesgado.;;;;;;;;;x
