CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
hoa_raid.1.desc;You descend into the Molten Core beneath Blackrock Mountain. The heat is unbearable as rivers of magma flow through the ancient dark iron halls. Fire elementals and molten giants patrol the burning corridors. Your expedition of forty champions readies for the first wave.;Vous descendez dans le Coeur du Magma sous la Montagne Blackrock. La chaleur est insupportable tandis que des rivieres de magma coulent a travers les anciennes salles de fer noir. Votre expedition de quarante champions se prepare.;Ihr steigt in den Geschmolzenen Kern hinab. Flusse aus Magma durchziehen die Hallen. Vierzig Champions bereiten sich vor.;;Desciendes al Nucleo de Magma bajo la Montana Roca Negra. Cuarenta campeones se preparan.;;;;;;;;;x
hoa_raid.1.a;The fire elementals are vanquished! We push through to Majordomo Executus!;Les elementaires de feu sont vaincus ! On avance vers Majordomo Executus !;Die Feuerelementare sind besiegt! Weiter zu Majordomo Executus!;;Los elementales de fuego estan vencidos! Avancemos hacia Majordomo!;;;;;;;;;x
hoa_raid.1.b;Heavy losses, but we press on wounded. Ragnaros awaits.;De lourdes pertes, mais on avance blesses. Ragnaros attend.;Schwere Verluste, aber wir kampfen weiter. Ragnaros wartet.;;Graves perdidas, pero avanzamos heridos. Ragnaros espera.;;;;;;;;;x
hoa_raid.1.c;The flames consume our expedition! We retreat with devastating losses!;Les flammes consument notre expedition ! Retraite avec des pertes devastatrices !;Die Flammen verschlingen unsere Expedition! Vernichtender Ruckzug!;;Las llamas consumen nuestra expedicion! Retirada con perdidas devastadoras!;;;;;;;;;x
hoa_raid.1.d;The heat alone is killing us. Pull back before we lose everyone.;La chaleur seule nous tue. Repli avant de tout perdre.;Die Hitze allein totet uns. Ruckzug bevor alle sterben.;;Solo el calor nos esta matando. Retirada.;;;;;;;;;x
hoa_raid.2.desc;Majordomo Executus stands before the gate to Ragnaros' lair, surrounded by eight Flamewaker guards. The herald of the Firelord channels devastating fire magic. "Behold Ragnaros - the Firelord! He who was ancient when this world was young!" You must defeat the Majordomo to summon Ragnaros himself.;Majordomo Executus se tient devant la porte du repaire de Ragnaros, entoure de huit gardes Marcheflamme. "Contemplez Ragnaros - le Seigneur du Feu !" Il faut vaincre le Majordomo pour invoquer Ragnaros.;Majordomo Executus steht vor dem Tor zu Ragnaros' Horst. "Seht Ragnaros - den Feuerlord!";;Majordomo Executus esta ante la puerta de la guarida de Ragnaros. "Contemplad a Ragnaros!";;;;;;;;;x
hoa_raid.2.a;Majordomo submits! He summons Ragnaros! Prepare for the Firelord!;Majordomo se soumet ! Il invoque Ragnaros ! Preparez-vous pour le Seigneur du Feu !;Majordomo unterwirft sich! Er beschwort Ragnaros!;;Majordomo se rinde! Invoca a Ragnaros! Preparaos!;;;;;;;;;x
hoa_raid.2.b;Executus' guards overwhelm our flanks. We retreat with partial spoils.;Les gardes d'Executus submergent nos flancs. Retraite avec du butin partiel.;Executus' Wachen uberwaltigen unsere Flanken. Ruckzug mit Teilbeute.;;Los guardias de Executus superan nuestros flancos. Retirada con algo de botin.;;;;;;;;;x
hoa_raid.2.c;The Flamewakers incinerate our front lines! Total rout!;Les Marcheflammes incinerent nos premieres lignes ! Deroute totale !;Die Flammenrufer vernichten unsere Frontlinie! Totale Niederlage!;;Los Caminallamas incineran nuestras lineas! Derrota total!;;;;;;;;;x
hoa_raid.3.desc;BY FIRE BE PURGED! RAGNAROS THE FIRELORD erupts from his magma pool in a cataclysmic explosion. The Elemental Lord towers above you, his hammer Sulfuras blazing with the fury of a thousand suns. The ground shakes. The air ignites. "TOO SOON, EXECUTUS! YOU HAVE AWAKENED ME TOO SOON!" His wrath turns upon you. This is it.;PAR LE FEU SOYEZ PURIFIES ! RAGNAROS LE SEIGNEUR DU FEU eruute de sa mare de magma dans une explosion cataclysmique. Le Seigneur Elementaire vous domine, son marteau Sulfuras brulant de la furie de mille soleils. "TROP TOT, EXECUTUS !";BY FIRE BE PURGED! RAGNAROS THE FIRELORD erupts from his magma pool in a cataclysmic explosion. The Elemental Lord towers above you, his hammer Sulfuras blazing with the fury of a thousand suns. The ground shakes. The air ignites. "TOO SOON, EXECUTUS! YOU HAVE AWAKENED ME TOO SOON!" His wrath turns upon you. This is it.;RAGNAROS DER FEUERLORD erhebt sich aus seinem Magmapool! "ZU FRUH, EXECUTUS!";BY FIRE BE PURGED! RAGNAROS THE FIRELORD erupts from his magma pool in a cataclysmic explosion. The Elemental Lord towers above you, his hammer Sulfuras blazing with the fury of a thousand suns. The ground shakes. The air ignites. "TOO SOON, EXECUTUS! YOU HAVE AWAKENED ME TOO SOON!" His wrath turns upon you. This is it.;RAGNAROS EL SENOR DEL FUEGO erupciona de su piscina de magma! "DEMASIADO PRONTO, EXECUTUS!";;;;;;;;;x
hoa_raid.3.a;BY FIRE BE PURGED! RAGNAROS HAS FALLEN! His hammer Sulfuras cools as the Firelord crumbles. We are LEGENDS!;PAR LE FEU SOYEZ PURIFIES ! RAGNAROS EST TOMBE ! Son marteau Sulfuras refroidit tandis que le Seigneur du Feu s'effondre. Nous sommes des LEGENDES !;RAGNAROS IST GEFALLEN! Sein Hammer Sulfuras kuhlt ab. Wir sind LEGENDEN!;;RAGNAROS HA CAIDO! Su martillo Sulfuras se enfria. Somos LEYENDAS!;;;;;;;;;x
hoa_raid.3.b;Ragnaros' hammer obliterates half our expedition in a single blow. We flee, shattered and broken.;Le marteau de Ragnaros oblitere la moitie de notre expedition d'un seul coup. Nous fuyons, brises et aneantis.;Ragnaros' Hammer vernichtet die halbe Expedition. Vernichtende Flucht.;;El martillo de Ragnaros aniquila la mitad de nuestra expedicion. Huimos destrozados.;;;;;;;;;x
hoa_raid.10.desc;Blackwing Lair, Nefarian's fortress atop Blackrock Mountain. The Black Dragonflight's stronghold is a labyrinth of dragon eggs, dragonkin guards, and chromatic experiments. Razorgore the Untamed guards the Rookery while Vaelastrasz the Corrupt burns with both rage and sorrow.;Le Repaire de l'Aile Noire, la forteresse de Nefarian au sommet de la Montagne Blackrock. Le bastion du Vol Noir est un labyrinthe d'oeufs de dragon et de gardes draconiques.;Pechschwingenhort, Nefarians Festung. Ein Labyrinth aus Dracheneiern und Wachtern.;;Guarida Alanegra, la fortaleza de Nefarian. Un laberinto de huevos de dragon y guardianes.;;;;;;;;;x
