CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
hoa_ret_chevaliers_stormwind;Chevaliers de Stormwind;Chevaliers de Stormwind;Chevaliers de Stormwind;;Chevaliers de Stormwind;;;;;;;;;x
hoa_ret_chevaliers_stormwind_desc;Cavalerie d'elite de l'Alliance humaine. Les heritiers des legendaires chevaliers de Lothar, montes sur des destriers de guerre caparaconnes d'armure complete. Leur charge est devastatrice : une ligne de chevaliers de Stormwind au galop brise n'importe quelle formation ennemie. Chaque chevalier est un noble forme des l'enfance aux arts de la guerre et de la chevalerie.;Cavalerie d'elite de l'Alliance humaine. Les heritiers des legendaires chevaliers de Lothar.;Cavalerie d'elite de l'Alliance humaine. Les heritiers des legendaires chevaliers de Lothar, montes sur des destriers de guerre caparaconnes d'armure complete. Leur charge est devastatrice : une ligne de chevaliers de Stormwind au galop brise n'importe quelle formation ennemie. Chaque chevalier est un noble forme des l'enfance aux arts de la guerre et de la chevalerie.;;Cavalerie d'elite de l'Alliance humaine. Les heritiers des legendaires chevaliers de Lothar, montes sur des destriers de guerre caparaconnes d'armure complete. Leur charge est devastatrice : une ligne de chevaliers de Stormwind au galop brise n'importe quelle formation ennemie. Chaque chevalier est un noble forme des l'enfance aux arts de la guerre et de la chevalerie.;;;;;;;;;x
hoa_ret_mages_dalaran;Mages de Bataille de Dalaran;Mages de Bataille de Dalaran;Mages de Bataille de Dalaran;;Mages de Bataille de Dalaran;;;;;;;;;x
hoa_ret_mages_dalaran_desc;Mages militarises formes par le Kirin Tor de Dalaran. Ils lancent des barrages de boules de feu, des blizzards glaciaux et des salves de missiles arcaniques depuis les lignes arrieres. Chaque mage vaut une compagnie d'archers. La puissance brute de l'arcane deployee sur un champ de bataille est un spectacle terrifiant et magnifique. Fragiles au corps a corps, ils doivent etre proteges.;Mages militarises formes par le Kirin Tor de Dalaran.;Mages militarises formes par le Kirin Tor de Dalaran. Ils lancent des barrages de boules de feu, des blizzards glaciaux et des salves de missiles arcaniques depuis les lignes arrieres. Chaque mage vaut une compagnie d'archers. La puissance brute de l'arcane deployee sur un champ de bataille est un spectacle terrifiant et magnifique. Fragiles au corps a corps, ils doivent etre proteges.;;Mages militarises formes par le Kirin Tor de Dalaran. Ils lancent des barrages de boules de feu, des blizzards glaciaux et des salves de missiles arcaniques depuis les lignes arrieres. Chaque mage vaut une compagnie d'archers. La puissance brute de l'arcane deployee sur un champ de bataille est un spectacle terrifiant et magnifique. Fragiles au corps a corps, ils doivent etre proteges.;;;;;;;;;x
hoa_ret_milice_westfall;Milice de Westfall;Milice de Westfall;Milice de Westfall;;Milice de Westfall;;;;;;;;;x
hoa_ret_milice_westfall_desc;Paysans armes des plaines de Westfall. Mal equipes mais courageux, ils defendent leurs terres avec des fourches, des epees rouillees et un courage desespere. Ce qu'ils manquent en equipement, ils le compensent par le nombre et la determination. Beaucoup sont d'anciens membres de la Confrerie des Defias qui se sont rachetes en servant le royaume.;Paysans armes des plaines de Westfall. Mal equipes mais courageux.;Paysans armes des plaines de Westfall. Mal equipes mais courageux, ils defendent leurs terres avec des fourches, des epees rouillees et un courage desespere. Ce qu'ils manquent en equipement, ils le compensent par le nombre et la determination. Beaucoup sont d'anciens membres de la Confrerie des Defias qui se sont rachetes en servant le royaume.;;Paysans armes des plaines de Westfall. Mal equipes mais courageux, ils defendent leurs terres avec des fourches, des epees rouillees et un courage desespere. Ce qu'ils manquent en equipement, ils le compensent par le nombre et la determination. Beaucoup sont d'anciens membres de la Confrerie des Defias qui se sont rachetes en servant le royaume.;;;;;;;;;x
hoa_ret_garde_korkron;Garde Kor'kron;Garde Kor'kron;Garde Kor'kron;;Garde Kor'kron;;;;;;;;;x
hoa_ret_garde_korkron_desc;L'elite absolue de la Horde. Les Kor'kron sont les guerriers orcs les plus puissants, selectionnes parmi les meilleurs de chaque clan. Armure noire integrale, haches gigantesques, discipline de fer. Ils sont la garde personnelle du Chef de Guerre et executent ses ordres sans question ni hesitation. Leur cri de guerre fait trembler la terre. LOK'TAR OGAR : la victoire ou la mort.;L'elite absolue de la Horde. Les Kor'kron sont les guerriers orcs les plus puissants.;L'elite absolue de la Horde. Les Kor'kron sont les guerriers orcs les plus puissants, selectionnes parmi les meilleurs de chaque clan. Armure noire integrale, haches gigantesques, discipline de fer. Ils sont la garde personnelle du Chef de Guerre et executent ses ordres sans question ni hesitation. Leur cri de guerre fait trembler la terre. LOK'TAR OGAR : la victoire ou la mort.;;L'elite absolue de la Horde. Les Kor'kron sont les guerriers orcs les plus puissants, selectionnes parmi les meilleurs de chaque clan. Armure noire integrale, haches gigantesques, discipline de fer. Ils sont la garde personnelle du Chef de Guerre et executent ses ordres sans question ni hesitation. Leur cri de guerre fait trembler la terre. LOK'TAR OGAR : la victoire ou la mort.;;;;;;;;;x
hoa_ret_chevaucheurs_loups;Chevaucheurs de Loups;Chevaucheurs de Loups;Chevaucheurs de Loups;;Chevaucheurs de Loups;;;;;;;;;x
hoa_ret_chevaucheurs_loups_desc;Cavalerie rapide montee sur des loups geants de Durotar. Les chevaucheurs de loups sont les yeux et les crocs de la Horde. Raids eclairs, flanquements, harcelement des lignes d'approvisionnement : ils frappent avant qu'on les voie et disparaissent avant qu'on puisse riposter. Le lien entre l'orc et son loup est sacre, forge depuis l'enfance.;Cavalerie rapide montee sur des loups geants de Durotar. Raids eclairs et flanquements.;Cavalerie rapide montee sur des loups geants de Durotar. Les chevaucheurs de loups sont les yeux et les crocs de la Horde. Raids eclairs, flanquements, harcelement des lignes d'approvisionnement : ils frappent avant qu'on les voie et disparaissent avant qu'on puisse riposter. Le lien entre l'orc et son loup est sacre, forge depuis l'enfance.;;Cavalerie rapide montee sur des loups geants de Durotar. Les chevaucheurs de loups sont les yeux et les crocs de la Horde. Raids eclairs, flanquements, harcelement des lignes d'approvisionnement : ils frappent avant qu'on les voie et disparaissent avant qu'on puisse riposter. Le lien entre l'orc et son loup est sacre, forge depuis l'enfance.;;;;;;;;;x
