CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
hoa_scheme_steal_artifact;Steal Artifact;Voler un Artefact;;;;;;;;;;;;x
hoa_scheme_steal_artifact_desc;Plot to steal an equipped artifact from the target through your agents.;Complotez pour voler un artefact equipe de la cible.;;;;;;;;;;;;x
hoa_scheme_fabricate_scandal;Fabricate Scandal;Fabriquer un Scandale;;;;;;;;;;;;x
hoa_scheme_fabricate_scandal_desc;Spread false rumors to destroy a rival's reputation across the realm.;Repandez de fausses rumeurs pour detruire la reputation d'un rival.;;;;;;;;;;;;x
hoa_scheme_incite_rebellion;Incite Rebellion;Inciter une Rebellion;;;;;;;;;;;;x
hoa_scheme_incite_rebellion_desc;Turn a ruler's vassals against them through secret agitation.;Retournez les vassaux d'un dirigeant contre lui.;;;;;;;;;;;;x
hoa_scheme_blackmail;Blackmail;Chantage;;;;;;;;;;;;x
hoa_scheme_blackmail_desc;Gather compromising information on a target for leverage.;Rassemblez des informations compromettantes sur une cible.;;;;;;;;;;;;x
hoa_scheme_poison;Poison Rival;Empoisonner un Rival;;;;;;;;;;;;x
hoa_scheme_poison_desc;Commission a slow-acting poison for a discreet elimination.;Commandez un poison a action lente pour une elimination discrete.;;;;;;;;;;;;x
hoa_scheme_kidnap;Kidnap Target;Enlever la Cible;;;;;;;;;;;;x
hoa_scheme_kidnap_desc;Abduct a character for ransom or political leverage.;Enlevez un personnage pour une rancon ou un avantage politique.;;;;;;;;;;;;x
hoa_scheme_dark_ritual;Dark Ritual;Rituel Sombre;;;;;;;;;;;;x
hoa_scheme_dark_ritual_desc;Perform forbidden magic against a rival ruler. Only for magic classes.;Effectuez un rituel magique interdit contre un rival. Classes magiques seulement.;;;;;;;;;;;;x
hoa_scheme_smuggling;Establish Smuggling Network;Reseau de Contrebande;;;;;;;;;;;;x
hoa_scheme_smuggling_desc;Set up an illicit trade network for ongoing income. Requires discretion.;Creez un reseau de commerce illicite pour des revenus continus.;;;;;;;;;;;;x
hoa_scheme_coup;Plan Coup d'Etat;Planifier un Coup d'Etat;;;;;;;;;;;;x
hoa_scheme_coup_desc;Plot to overthrow your liege and seize power for yourself.;Complotez pour renverser votre suzerain et prendre le pouvoir.;;;;;;;;;;;;x
hoa_private_discussion;Private Discussion;Discussion Privee;;;;;;;;;;;;x
hoa_private_discussion_desc;Have a private conversation with this person.;Avoir une discussion privee avec cette personne.;;;;;;;;;;;;x
hoa_smuggling_setup_tt;Your agents begin establishing smuggling routes...;Vos agents commencent a etablir des routes de contrebande...;;;;;;;;;;;;x
hoa_coup_planning_tt;You begin secretly preparing your seizure of power...;Vous commencez a preparer secretement votre prise de pouvoir...;;;;;;;;;;;;x
hoa_scheme_1_title;The Heist Begins;Le Braquage Commence;;;;;;;;;;;;x
hoa_scheme_1_desc;Your agents have identified the target's most prized artifact. They await your signal to begin the operation.;Vos agents ont identifie l'artefact le plus precieux de la cible. Ils attendent votre signal.;;;;;;;;;;;;x
hoa_scheme_1_a;Begin the operation;Commencer l'operation;;;;;;;;;;;;x
hoa_scheme_2_title;Artifact Stolen!;Artefact Vole!;;;;;;;;;;;;x
hoa_scheme_2_desc;Your agents successfully infiltrated and extracted the artifact without being detected. A masterful operation.;Vos agents ont reussi a infiltrer et extraire l'artefact sans etre detectes.;;;;;;;;;;;;x
hoa_scheme_2_a;Excellent work;Excellent travail;;;;;;;;;;;;x
hoa_scheme_3_title;Partial Success;Succes Partiel;;;;;;;;;;;;x
hoa_scheme_3_desc;Your agents couldn't reach the artifact but managed to pocket some gold during the infiltration.;Vos agents n'ont pas pu atteindre l'artefact mais ont recupere de l'or.;;;;;;;;;;;;x
hoa_scheme_3_a;At least we got something;Au moins on a quelque chose;;;;;;;;;;;;x
hoa_scheme_4_title;Caught!;Pris sur le fait!;;;;;;;;;;;;x
hoa_scheme_4_desc;Your agents were discovered during the operation. Your involvement is now known throughout the realm.;Vos agents ont ete decouverts. Votre implication est maintenant connue.;;;;;;;;;;;;x
hoa_scheme_4_a;This is... unfortunate;C'est... regrettable;;;;;;;;;;;;x
hoa_scheme_10_title;Spreading Rumors;Propagation de Rumeurs;;;;;;;;;;;;x
hoa_scheme_10_desc;Your network of informants begins spreading carefully crafted lies about the target.;Votre reseau d'informateurs commence a repandre des mensonges soigneusement elabores.;;;;;;;;;;;;x
hoa_scheme_10_a;Let the whispers do their work;Laissons les murmures faire leur oeuvre;;;;;;;;;;;;x
hoa_scheme_11_title;Scandal Erupts!;Le Scandale Eclate!;;;;;;;;;;;;x
hoa_scheme_11_desc;The false rumors have spread like wildfire. The target's reputation lies in ruins.;Les fausses rumeurs se sont propagees comme une trainee de poudre.;;;;;;;;;;;;x
hoa_scheme_11_a;Their reputation is destroyed;Leur reputation est detruite;;;;;;;;;;;;x
hoa_scheme_12_title;Mild Gossip;Ragots Legers;;;;;;;;;;;;x
hoa_scheme_12_desc;Some rumors circulate but fail to gain real traction. Still, you learned useful skills.;Quelques rumeurs circulent mais ne prennent pas vraiment.;;;;;;;;;;;;x
hoa_scheme_12_a;Better than nothing;Mieux que rien;;;;;;;;;;;;x
hoa_scheme_13_title;Scandal Backfires!;Le Scandale se Retourne!;;;;;;;;;;;;x
hoa_scheme_13_desc;The false rumors have been traced back to you. Now everyone knows you as a liar and schemer.;Les fausses rumeurs ont ete retracees jusqu'a vous.;;;;;;;;;;;;x
hoa_scheme_13_a;I should have been more careful;J'aurais du etre plus prudent;;;;;;;;;;;;x
hoa_scheme_20_title;Agents of Chaos;Agents du Chaos;;;;;;;;;;;;x
hoa_scheme_20_desc;Your operatives infiltrate the target realm, whispering promises of freedom to disgruntled vassals.;Vos agents infiltrent le royaume cible, murmurant des promesses de liberte.;;;;;;;;;;;;x
hoa_scheme_20_a;Spread the seeds of discord;Semez les graines de la discorde;;;;;;;;;;;;x
hoa_scheme_21_title;Rebellion Erupts!;La Rebellion Eclate!;;;;;;;;;;;;x
hoa_scheme_21_desc;Your efforts bear fruit as multiple vassals rise against their overlord in open revolt!;Vos efforts portent leurs fruits alors que plusieurs vassaux se revolent!;;;;;;;;;;;;x
hoa_scheme_21_a;The chaos serves our purpose;Le chaos sert nos interets;;;;;;;;;;;;x
hoa_scheme_22_title;Unrest Simmers;Agitation Sourde;;;;;;;;;;;;x
hoa_scheme_22_desc;There is unrest in the target realm but no outright rebellion. The seeds are planted.;Il y a de l'agitation mais pas de rebellion ouverte.;;;;;;;;;;;;x
hoa_scheme_22_a;The foundation is laid;Les fondations sont posees;;;;;;;;;;;;x
hoa_scheme_23_title;Plot Discovered!;Complot Decouvert!;;;;;;;;;;;;x
hoa_scheme_23_desc;Your involvement in the failed rebellion has been exposed. Diplomatic consequences will follow.;Votre implication dans la rebellion echouee a ete exposee.;;;;;;;;;;;;x
hoa_scheme_23_a;We've made a powerful enemy;Nous avons cree un puissant ennemi;;;;;;;;;;;;x
hoa_scheme_30_title;Gathering Secrets;Collecte de Secrets;;;;;;;;;;;;x
