CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
hoa_t05.1.desc;The burning streets of Stratholme lie before you. Once a proud human city, now a charnel house of the Scourge. Undead shamble through the ruined avenues, and the stench of plague fills the air. The gauntlet of the Scourge begins - you must fight through waves of undead to reach Baron Rivendare.;Les rues en flammes de Stratholme s'etendent devant vous. Autrefois fiere cite humaine, maintenant un charnier du Fleau. Les morts-vivants errent dans les avenues en ruine.;Die brennenden Strassen von Stratholme liegen vor euch. Untote schlurfen durch die Ruinen.;;Las calles ardientes de Stratholme se extienden ante ti. Los muertos vivientes deambulan por las ruinas.;;;;;;;;;x
hoa_t05.1.a;We carve through the Scourge! Deeper into the plagued city!;On fend le Fleau ! Plus profond dans la cite pestiferee !;Wir kampfen uns durch die Untoten! Weiter in die verseuchte Stadt!;;Cortamos al Azote! Mas profundo en la ciudad plagada!;;;;;;;;;x
hoa_t05.1.b;The undead horde is relentless! We fall back, wounded!;La horde de morts-vivants est implacable ! On bat en retraite, blesses !;Die Untotenhorde ist unerbittlich! Ruckzug!;;La horda de muertos vivientes es implacable! Nos retiramos heridos!;;;;;;;;;x
hoa_t05.1.c;The plague is too dangerous. We withdraw before infection spreads.;La peste est trop dangereuse. On se retire avant que l'infection ne se propage.;Die Seuche ist zu gefahrlich. Ruckzug.;;La plaga es muy peligrosa. Nos retiramos.;;;;;;;;;x
hoa_t05.2.desc;The Unforgiven and Timmy the Cruel block your advance. The Unforgiven, a spectral banshee queen, wails in fury as Timmy, a massive abomination, charges forward with his meat hooks. The two guardians of Stratholme's inner sanctum fight as one terrible force.;L'Impardonnable et Timmy le Cruel bloquent votre avance. L'Impardonnable, une reine banshee spectrale, hurle de fureur tandis que Timmy, une abomination massive, charge avec ses crochets a viande.;Die Unvergebene und Timmy der Grausame versperren den Weg.;;El Imperdonable y Timmy el Cruel bloquean tu avance.;;;;;;;;;x
hoa_t05.2.a;Both guardians fall! Baron Rivendare's stronghold lies ahead!;Les deux gardiens tombent ! La forteresse du Baron Vaillefendre est devant nous !;Beide Wachter fallen! Baron Rivendares Festung liegt vor uns!;;Ambos guardianes caen! La fortaleza del Baron esta adelante!;;;;;;;;;x
hoa_t05.2.b;Timmy's brute force and the Unforgiven's wails drive us back! Retreat!;La force brute de Timmy et les hurlements de l'Impardonnable nous repoussent ! Retraite !;Timmys Starke und die Schreie treiben uns zuruck!;;La fuerza de Timmy y los aullidos nos repelen! Retirada!;;;;;;;;;x
hoa_t05.3.desc;Baron Rivendare, the death knight lord of Stratholme, awaits atop his skeletal warhorse. His runeblade drips with unholy power. "Stratholme is mine! You dare challenge the lord of this city? Come then, and join my army of the dead!" Behind him, his Deathcharger stamps impatiently.;Le Baron Vaillefendre, le chevalier de la mort seigneur de Stratholme, attend sur son destrier squelettique. Sa lame runique degouline de pouvoir impie.;Baron Rivendare wartet auf seinem Skelettross. "Stratholme gehort mir!";;El Baron Vaillefendre espera sobre su corcel esqueletico. "Stratholme es mio!";;;;;;;;;x
hoa_t05.3.a;Baron Rivendare is destroyed! His Deathcharger is ours! Stratholme is liberated!;Le Baron Vaillefendre est detruit ! Son Destrier de la Mort est a nous ! Stratholme est liberee !;Baron Rivendare ist vernichtet! Sein Todesross ist unser!;;El Baron ha sido destruido! Su Corcel de la Muerte es nuestro!;;;;;;;;;x
hoa_t05.3.b;The death knight's power is overwhelming. We barely escape with our lives.;La puissance du chevalier de la mort est ecrasante. Nous echappons de justesse.;Die Macht des Todesritters ist uberwarltigend. Knappe Flucht.;;El poder del caballero de la muerte es abrumador. Escapamos por poco.;;;;;;;;;x
hoa_t05.10.desc;You descend into the dark halls of Scholomance on Caer Darrow island. The necromancy school of Kel'Thuzad's Cult of the Damned fills these chambers with the stench of death and dark magic. Skeletal students study forbidden arts in the Reliquary.;Vous descendez dans les sombres salles de Scholomance sur l'ile de Caer Darrow. L'ecole de necromancie du Culte des Damnes de Kel'Thuzad emplit ces chambres de l'odeur de la mort.;Ihr steigt in die dunklen Hallen der Scholomance hinab. Skelettschuler studieren verbotene Kunste.;;Desciendes a las oscuras salas de Scholomance. Estudiantes esqueleticos estudian artes prohibidas.;;;;;;;;;x
hoa_t05.10.a;The Reliquary is cleared! We delve deeper into the school of necromancy!;Le Reliquaire est nettoye ! On s'enfonce dans l'ecole de necromancie !;Das Reliquiar ist gesaubert! Tiefer in die Nekromantieschule!;;El Relicario esta limpio! Mas profundo en la escuela de nigromancia!;;;;;;;;;x
hoa_t05.10.b;The dark magic here is suffocating. Necromantic energy drains our life force.;La magie noire ici est suffocante. L'energie necromanticque draine notre force vitale.;Die dunkle Magie ist erstickend. Nekromantische Energie raubt unsere Lebenskraft.;;La magia oscura aqui es asfixiante. Nos drena la fuerza vital.;;;;;;;;;x
hoa_t05.10.c;This place is cursed beyond measure. We should leave while we can.;Cet endroit est maudit au-dela de toute mesure. Partons tant que nous le pouvons.;Dieser Ort ist uber alle Massen verflucht. Ruckzug.;;Este lugar esta maldito. Deberiamos irnos mientras podamos.;;;;;;;;;x
