CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
hoa_battle_tested;Battle-Tested;Aguerri;;;;;;;;;;;;x
hoa_battle_tested_desc;Proven in the fires of battle, this warrior has earned respect through combat experience.;Prouve dans les feux de la bataille, ce guerrier a gagne le respect par l'experience du combat.;;;;;;;;;;;;x
hoa_war_hero;War Hero;Heros de Guerre;;;;;;;;;;;;x
hoa_war_hero_desc;A legendary figure on the battlefield, known across the realm for military prowess.;Une figure legendaire sur le champ de bataille, connue dans tout le royaume.;;;;;;;;;;;;x
hoa_legendary_warrior;Legendary Warrior;Guerrier Legendaire;;;;;;;;;;;;x
hoa_legendary_warrior_desc;One of the greatest warriors of this age, whose name alone strikes fear into enemies.;L'un des plus grands guerriers de cette ere, dont le nom seul inspire la peur.;;;;;;;;;;;;x
hoa_scar_bearer;Scar Bearer;Porteur de Cicatrices;;;;;;;;;;;;x
hoa_scar_bearer_desc;Marked by the wounds of many battles, each scar tells a story of survival.;Marque par les blessures de nombreuses batailles, chaque cicatrice raconte une histoire de survie.;;;;;;;;;;;;x
hoa_veteran_adventurer;Veteran Adventurer;Aventurier Veteran;;;;;;;;;;;;x
hoa_veteran_adventurer_desc;Has explored countless dungeons and faced terrible dangers, emerging with wisdom and skill.;A explore d'innombrables donjons et fait face a de terribles dangers.;;;;;;;;;;;;x
hoa_dungeon_survivor;Dungeon Survivor;Survivant de Donjon;;;;;;;;;;;;x
hoa_dungeon_survivor_desc;Survived a catastrophic dungeon expedition that would have killed lesser adventurers.;A survecu a une expedition catastrophique dans un donjon.;;;;;;;;;;;;x
hoa_raid_leader;Raid Leader;Chef de Raid;;;;;;;;;;;;x
hoa_raid_leader_desc;Has led armies into the most dangerous raids and emerged victorious.;A mene des armees dans les raids les plus dangereux et en est sorti victorieux.;;;;;;;;;;;;x
hoa_treasure_hunter;Treasure Hunter;Chasseur de Tresors;;;;;;;;;;;;x
hoa_treasure_hunter_desc;Has a nose for finding valuable artifacts and hidden riches.;A un flair pour trouver des artefacts precieux et des richesses cachees.;;;;;;;;;;;;x
hoa_arcane_scholar;Arcane Scholar;Erudit Arcanique;;;;;;;;;;;;x
hoa_arcane_scholar_desc;A devoted student of the arcane arts, possessing deep magical knowledge.;Un etudiant devoue des arts arcaniques, possedant une connaissance magique profonde.;;;;;;;;;;;;x
hoa_spirit_touched;Spirit-Touched;Touche par les Esprits;;;;;;;;;;;;x
hoa_spirit_touched_desc;Has been touched by supernatural forces, granting unusual perception but unsettling others.;A ete touche par des forces surnaturelles, accordant une perception inhabituelle.;;;;;;;;;;;;x
hoa_loremaster;Loremaster;Maitre du Savoir;;;;;;;;;;;;x
hoa_loremaster_desc;A walking encyclopedia of ancient knowledge, history, and forgotten lore.;Une encyclopedie vivante de connaissances anciennes, d'histoire et de savoir oublie.;;;;;;;;;;;;x
hoa_silver_tongue;Silver Tongue;Langue d'Argent;;;;;;;;;;;;x
hoa_silver_tongue_desc;Possesses exceptional eloquence and charm, able to persuade even the most stubborn minds.;Possede une eloquence et un charme exceptionnels.;;;;;;;;;;;;x
hoa_tavern_regular;Tavern Regular;Habitue de Taverne;;;;;;;;;;;;x
hoa_tavern_regular_desc;Well-known in every drinking establishment, loved by commoners but not always by the court.;Bien connu dans tous les debits de boissons, aime du peuple mais pas toujours de la cour.;;;;;;;;;;;;x
hoa_merchant_prince;Merchant Prince;Prince Marchand;;;;;;;;;;;;x
hoa_merchant_prince_desc;A master of trade and commerce, able to turn any situation into profit.;Un maitre du commerce, capable de transformer toute situation en profit.;;;;;;;;;;;;x
hoa_shadow_agent;Shadow Agent;Agent de l'Ombre;;;;;;;;;;;;x
hoa_shadow_agent_desc;Trained in the arts of espionage and covert operations.;Forme dans les arts de l'espionnage et des operations secretes.;;;;;;;;;;;;x
hoa_master_schemer;Master Schemer;Maitre Intrigant;;;;;;;;;;;;x
hoa_master_schemer_desc;A brilliant but feared political manipulator, always three steps ahead.;Un manipulateur politique brillant mais craint, toujours trois coups d'avance.;;;;;;;;;;;;x
hoa_master_crafter;Master Crafter;Maitre Artisan;;;;;;;;;;;;x
hoa_master_crafter_desc;Skilled in the creation of weapons, armor, and magical items.;Qualifie dans la creation d'armes, d'armures et d'objets magiques.;;;;;;;;;;;;x
hoa_iron_will;Iron Will;Volonte de Fer;;;;;;;;;;;;x
hoa_iron_will_desc;Possesses an unbreakable mental fortitude that sustains them through any hardship.;Possede une force mentale indestructible.;;;;;;;;;;;;x
