CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ie_economy.1.desc;Our miners have discovered a rich vein of ore in the mountains of our domain! This could bring great wealth to our coffers if properly exploited.;Nos mineurs ont decouvert un riche filon de minerai dans les montagnes de notre domaine ! Cela pourrait apporter une grande richesse a nos coffres si elle est correctement exploitee.;Unsere Bergleute haben eine reiche Erzader entdeckt!;;Nuestros mineros han descubierto una rica veta de mineral!;;;;;;;;;x
ie_economy.1.a;Invest in developing the mine;Investir dans le developpement de la mine;In die Mine investieren;;Invertir en el desarrollo de la mina;;;;;;;;;x
ie_economy.1.b;Sell the mining rights for quick gold;Vendre les droits miniers pour de l'or rapide;Die Schurfrechte verkaufen;;Vender los derechos de mineria;;;;;;;;;x
ie_economy.2.desc;A large trade caravan has arrived at our lands, seeking safe passage and a place to sell their exotic wares. Their presence could boost our local economy.;Une grande caravane commerciale est arrivee sur nos terres, cherchant un passage sur et un endroit pour vendre leurs marchandises exotiques. Leur presence pourrait stimuler notre economie locale.;Eine grosse Handelskarawane ist angekommen!;;Una gran caravana comercial ha llegado!;;;;;;;;;x
ie_economy.2.a;Welcome the traders and encourage commerce;Accueillir les marchands et encourager le commerce;Die Handler willkommen heissen;;Dar la bienvenida a los comerciantes;;;;;;;;;x
ie_economy.2.b;Tax them heavily for passage rights;Les taxer lourdement pour le droit de passage;Sie schwer besteuern;;Cobrarles un impuesto alto;;;;;;;;;x
ie_economy.2.c;Seize their goods by force;Saisir leurs biens par la force;Ihre Guter beschlagnahmen;;Apoderarse de sus bienes por la fuerza;;;;;;;;;x
ie_economy.3.desc;The arcane arts have sparked a boom in magical trade! Enchanted goods, potions, and spell components are being traded in great volumes across our realm.;Les arts arcaniques ont declenche un boom dans le commerce magique ! Des biens enchantes, des potions et des composants de sorts sont echanges en grands volumes a travers notre royaume.;Die arkanen Kunste haben einen Handelsboom ausgelost!;;Las artes arcanas han provocado un auge comercial!;;;;;;;;;x
ie_economy.3.a;Encourage the arcane marketplace;Encourager le marche arcanique;Den arkanen Markt fordern;;Fomentar el mercado arcano;;;;;;;;;x
ie_economy.3.b;Regulate and heavily tax magic commerce;Reguler et taxer lourdement le commerce magique;Den Magiehandel regulieren;;Regular e imponer impuestos al comercio magico;;;;;;;;;x
