CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#;;;;;;;;;;;;;x
# CASTLE ECONOMY BUILDINGS - Generic chains;;;;;;;;;;;;;x
#;;;;;;;;;;;;;x
ie_ca_mine_1;Mine (Level 1);Mine (Niveau 1);Bergwerk (Stufe 1);;Mina (Nivel 1);;;;;;;;;x
ie_ca_mine_1_desc;A basic mine extracting common ores from the earth. Provides a modest income.;Une mine basique extrayant des minerais communs. Fournit un revenu modeste.;Ein einfaches Bergwerk, das gewoehnliche Erze foerdert. Bietet ein bescheidenes Einkommen.;;Una mina basica que extrae minerales comunes de la tierra. Proporciona ingresos modestos.;;;;;;;;;x
ie_ca_mine_2;Mine (Level 2);Mine (Niveau 2);Bergwerk (Stufe 2);;Mina (Nivel 2);;;;;;;;;x
ie_ca_mine_2_desc;An improved mine with deeper shafts and better extraction techniques.;Une mine amelioree avec des puits plus profonds et de meilleures techniques d'extraction.;Ein verbessertes Bergwerk mit tieferen Schaechten und besseren Foerdertechniken.;;Una mina mejorada con pozos mas profundos y mejores tecnicas de extraccion.;;;;;;;;;x
ie_ca_mine_3;Mine (Level 3);Mine (Niveau 3);Bergwerk (Stufe 3);;Mina (Nivel 3);;;;;;;;;x
ie_ca_mine_3_desc;A large mining operation with reinforced tunnels reaching valuable ore deposits.;Une grande exploitation miniere avec des tunnels renforces atteignant des gisements precieux.;Ein grosser Bergbaubetrieb mit verstaerkten Tunneln, die wertvolle Erzlager erreichen.;;Una gran operacion minera con tuneles reforzados que alcanzan depositos de mineral valiosos.;;;;;;;;;x
ie_ca_mine_4;Mine (Level 4);Mine (Niveau 4);Bergwerk (Stufe 4);;Mina (Nivel 4);;;;;;;;;x
ie_ca_mine_4_desc;An advanced deep mine extracting rare minerals, including traces of mithril and thorium.;Une mine profonde avancee extrayant des mineraux rares, incluant des traces de mithril et de thorium.;Eine fortgeschrittene Tiefmine, die seltene Mineralien foerdert, darunter Spuren von Mithril und Thorium.;;Una mina profunda avanzada que extrae minerales raros, incluyendo trazas de mithril y torio.;;;;;;;;;x
ie_ca_mine_5;Grand Mine (Level 5);Grande Mine (Niveau 5);Grosses Bergwerk (Stufe 5);;Gran Mina (Nivel 5);;;;;;;;;x
ie_ca_mine_5_desc;A massive mining complex rivaling the great mines of Ironforge, producing ore of exceptional quality.;Un complexe minier massif rivalisant avec les grandes mines d'Ironforge, produisant du minerai de qualite exceptionnelle.;Ein massiver Bergbaukomplex, der mit den grossen Minen von Ironforge konkurriert, mit Erz von aussergewoehnlicher Qualitaet.;;Un complejo minero masivo que rivaliza con las grandes minas de Ironforge, produciendo mineral de calidad excepcional.;;;;;;;;;x
ie_ca_arcane_workshop_1;Arcane Workshop (Level 1);Atelier Arcanique (Niveau 1);Arkane Werkstatt (Stufe 1);;Taller Arcano (Nivel 1);;;;;;;;;x
ie_ca_arcane_workshop_1_desc;A workshop where apprentice mages craft minor magical items and components.;Un atelier ou des mages apprentis fabriquent des objets magiques mineurs et des composants.;Eine Werkstatt, in der Magierlehrlinge kleinere magische Gegenstaende und Komponenten herstellen.;;Un taller donde aprendices de mago elaboran objetos magicos menores y componentes.;;;;;;;;;x
ie_ca_arcane_workshop_2;Arcane Workshop (Level 2);Atelier Arcanique (Niveau 2);Arkane Werkstatt (Stufe 2);;Taller Arcano (Nivel 2);;;;;;;;;x
ie_ca_arcane_workshop_2_desc;An improved arcane workshop producing enchanted goods and spell components.;Un atelier arcanique ameliore produisant des biens enchantes et des composants de sorts.;Eine verbesserte arkane Werkstatt, die verzauberte Waren und Zauberkomponenten herstellt.;;Un taller arcano mejorado que produce bienes encantados y componentes de hechizos.;;;;;;;;;x
ie_ca_arcane_workshop_3;Arcane Workshop (Level 3);Atelier Arcanique (Niveau 3);Arkane Werkstatt (Stufe 3);;Taller Arcano (Nivel 3);;;;;;;;;x
ie_ca_arcane_workshop_3_desc;An advanced arcane workshop capable of producing high-quality enchanted equipment.;Un atelier arcanique avance capable de produire de l'equipement enchante de haute qualite.;Eine fortgeschrittene arkane Werkstatt, die hochwertiges verzaubertes Equipment herstellen kann.;;Un taller arcano avanzado capaz de producir equipamiento encantado de alta calidad.;;;;;;;;;x
ie_ca_arcane_workshop_4;Grand Arcane Workshop (Level 4);Grand Atelier Arcanique (Niveau 4);Grosse Arkane Werkstatt (Stufe 4);;Gran Taller Arcano (Nivel 4);;;;;;;;;x
ie_ca_arcane_workshop_4_desc;A premier arcane workshop producing masterwork magical items coveted across all of Azeroth.;Un atelier arcanique de premier ordre produisant des objets magiques de maitre convoites a travers Azeroth.;Eine erstklassige arkane Werkstatt, die meisterhafte magische Gegenstaende herstellt, die in ganz Azeroth begehrt sind.;;Un taller arcano de primer orden que produce objetos magicos magistrales codiciados en todo Azeroth.;;;;;;;;;x
ie_ca_war_forge_1;War Forge (Level 1);Forge de Guerre (Niveau 1);Kriegsschmiede (Stufe 1);;Forja de Guerra (Nivel 1);;;;;;;;;x
ie_ca_war_forge_1_desc;A military forge producing basic weapons and armor for the garrison.;Une forge militaire produisant des armes et armures basiques pour la garnison.;Eine Militaerschmiede, die einfache Waffen und Ruestungen fuer die Garnison herstellt.;;Una forja militar que produce armas y armaduras basicas para la guarnicion.;;;;;;;;;x
ie_ca_war_forge_2;War Forge (Level 2);Forge de Guerre (Niveau 2);Kriegsschmiede (Stufe 2);;Forja de Guerra (Nivel 2);;;;;;;;;x
ie_ca_war_forge_2_desc;An improved war forge producing superior weapons and heavy armor.;Une forge de guerre amelioree produisant des armes superieures et des armures lourdes.;Eine verbesserte Kriegsschmiede, die ueberlegene Waffen und schwere Ruestungen herstellt.;;Una forja de guerra mejorada que produce armas superiores y armaduras pesadas.;;;;;;;;;x
ie_ca_war_forge_3;War Forge (Level 3);Forge de Guerre (Niveau 3);Kriegsschmiede (Stufe 3);;Forja de Guerra (Nivel 3);;;;;;;;;x
ie_ca_war_forge_3_desc;An advanced war forge with master smiths crafting elite-grade military equipment.;Une forge de guerre avancee avec des maitres forgerons fabriquant de l'equipement militaire d'elite.;Eine fortgeschrittene Kriegsschmiede mit Meisterschmieden, die Eliteausruestung fertigen.;;Una forja de guerra avanzada con maestros herreros que elaboran equipamiento militar de elite.;;;;;;;;;x
ie_ca_war_forge_4;Grand War Forge (Level 4);Grande Forge de Guerre (Niveau 4);Grosse Kriegsschmiede (Stufe 4);;Gran Forja de Guerra (Nivel 4);;;;;;;;;x
ie_ca_war_forge_4_desc;A legendary forge complex rivaling the great forges of Ironforge, producing weapons of unmatched quality.;Un complexe de forge legendaire rivalisant avec les grandes forges d'Ironforge, produisant des armes de qualite inegalee.;Ein legendaerer Schmiedekomplex, der mit den grossen Schmieden von Ironforge konkurriert, mit Waffen unuebertroffener Qualitaet.;;Un complejo de forja legendario que rivaliza con las grandes forjas de Ironforge, produciendo armas de calidad inigualable.;;;;;;;;;x
ie_ca_merchant_quarter_1;Merchant Quarter (Level 1);Quartier des Marchands (Niveau 1);Handelsviertel (Stufe 1);;Barrio Mercantil (Nivel 1);;;;;;;;;x
ie_ca_merchant_quarter_1_desc;A small trading area where local merchants sell basic goods and produce.;Une petite zone commerciale ou les marchands locaux vendent des biens et produits de base.;Ein kleines Handelsgebiet, in dem lokale Haendler Grundwaren und Produkte verkaufen.;;Una pequena zona comercial donde los mercaderes locales venden bienes y productos basicos.;;;;;;;;;x
ie_ca_merchant_quarter_2;Merchant Quarter (Level 2);Quartier des Marchands (Niveau 2);Handelsviertel (Stufe 2);;Barrio Mercantil (Nivel 2);;;;;;;;;x
ie_ca_merchant_quarter_2_desc;A growing marketplace attracting traders from neighboring provinces.;Un marche en croissance attirant des commercants des provinces voisines.;Ein wachsender Marktplatz, der Haendler aus benachbarten Provinzen anzieht.;;Un mercado en crecimiento que atrae comerciantes de las provincias vecinas.;;;;;;;;;x
ie_ca_merchant_quarter_3;Merchant Quarter (Level 3);Quartier des Marchands (Niveau 3);Handelsviertel (Stufe 3);;Barrio Mercantil (Nivel 3);;;;;;;;;x
ie_ca_merchant_quarter_3_desc;A bustling commercial district with warehouses and a thriving trade network.;Un quartier commercial anime avec des entrepots et un reseau commercial florissant.;Ein belebtes Handelsviertel mit Lagerhaeusern und einem florierenden Handelsnetzwerk.;;Un animado distrito comercial con almacenes y una prospera red comercial.;;;;;;;;;x
ie_ca_merchant_quarter_4;Grand Merchant Quarter (Level 4);Grand Quartier des Marchands (Niveau 4);Grosses Handelsviertel (Stufe 4);;Gran Barrio Mercantil (Nivel 4);;;;;;;;;x
ie_ca_merchant_quarter_4_desc;A vast commercial hub rivaling the great markets of Stormwind and Orgrimmar.;Un vaste centre commercial rivalisant avec les grands marches de Stormwind et d'Orgrimmar.;Ein riesiges Handelszentrum, das mit den grossen Maerkten von Sturmwind und Orgrimmar konkurriert.;;Un vasto centro comercial que rivaliza con los grandes mercados de Ventormenta y Orgrimmar.;;;;;;;;;x
ie_ca_lumber_mill_1;Lumber Mill (Level 1);Scierie (Niveau 1);Sagewerk (Stufe 1);;Aserradero (Nivel 1);;;;;;;;;x
ie_ca_lumber_mill_1_desc;A basic lumber mill processing wood for construction and trade.;Une scierie basique traitant le bois pour la construction et le commerce.;Ein einfaches Sagewerk, das Holz fuer Bau und Handel verarbeitet.;;Un aserradero basico que procesa madera para construccion y comercio.;;;;;;;;;x
ie_ca_lumber_mill_2;Lumber Mill (Level 2);Scierie (Niveau 2);Sagewerk (Stufe 2);;Aserradero (Nivel 2);;;;;;;;;x
ie_ca_lumber_mill_2_desc;An improved lumber mill with better equipment and increased production capacity.;Une scierie amelioree avec un meilleur equipement et une capacite de production accrue.;Ein verbessertes Sagewerk mit besserer Ausruestung und erhoehter Produktionskapazitaet.;;Un aserradero mejorado con mejor equipamiento y mayor capacidad de produccion.;;;;;;;;;x
ie_ca_lumber_mill_3;Lumber Mill (Level 3);Scierie (Niveau 3);Sagewerk (Stufe 3);;Aserradero (Nivel 3);;;;;;;;;x
ie_ca_lumber_mill_3_desc;A large lumber operation supplying wood for shipbuilding and siege equipment.;Une grande exploitation forestiere fournissant du bois pour la construction navale et les engins de siege.;Ein grosser Holzbetrieb, der Holz fuer Schiffbau und Belagerungsgeraet liefert.;;Una gran operacion maderera que suministra madera para construccion naval y maquinaria de asedio.;;;;;;;;;x
ie_ca_lumber_mill_4;Grand Lumber Mill (Level 4);Grande Scierie (Niveau 4);Grosses Sagewerk (Stufe 4);;Gran Aserradero (Nivel 4);;;;;;;;;x
ie_ca_lumber_mill_4_desc;A massive lumber complex providing premium construction materials across the realm.;Un complexe forestier massif fournissant des materiaux de construction premium a travers le royaume.;Ein massiver Holzkomplex, der erstklassige Baumaterialien im ganzen Reich liefert.;;Un complejo maderero masivo que proporciona materiales de construccion premium en todo el reino.;;;;;;;;;x
#;;;;;;;;;;;;;x
# CULTURE ECONOMY BUILDINGS;;;;;;;;;;;;;x
#;;;;;;;;;;;;;x
ie_ca_goblin_engineering_1;Goblin Engineering Works (Level 1);Atelier d'Ingenierie Gobeline (Niveau 1);Goblin-Ingenieurswerk (Stufe 1);;Taller de Ingenieria Goblin (Nivel 1);;;;;;;;;x
ie_ca_goblin_engineering_1_desc;A small workshop where goblin engineers tinker with explosives and mechanical devices.;Un petit atelier ou les ingenieurs gobelins bricolent des explosifs et des dispositifs mecaniques.;Eine kleine Werkstatt, wo Goblin-Ingenieure an Sprengstoff und mechanischen Geraeten basteln.;;Un pequeno taller donde los ingenieros goblins experimentan con explosivos y dispositivos mecanicos.;;;;;;;;;x
ie_ca_goblin_engineering_2;Goblin Engineering Works (Level 2);Atelier d'Ingenierie Gobeline (Niveau 2);Goblin-Ingenieurswerk (Stufe 2);;Taller de Ingenieria Goblin (Nivel 2);;;;;;;;;x
ie_ca_goblin_engineering_2_desc;An expanded engineering workshop producing sophisticated goblin technology.;Un atelier d'ingenierie agrandi produisant de la technologie gobeline sophistiquee.;Eine erweiterte Ingenieurswerkstatt, die anspruchsvolle Goblin-Technologie herstellt.;;Un taller de ingenieria ampliado que produce tecnologia goblin sofisticada.;;;;;;;;;x
ie_ca_goblin_engineering_3;Goblin Engineering Works (Level 3);Atelier d'Ingenierie Gobeline (Niveau 3);Goblin-Ingenieurswerk (Stufe 3);;Taller de Ingenieria Goblin (Nivel 3);;;;;;;;;x
ie_ca_goblin_engineering_3_desc;A major engineering complex producing cutting-edge goblin innovations and war machines.;Un complexe d'ingenierie majeur produisant des innovations gobelines de pointe et des machines de guerre.;Ein grosser Ingenieurskomplex, der modernste Goblin-Innovationen und Kriegsmaschinen herstellt.;;Un gran complejo de ingenieria que produce innovaciones goblin de vanguardia y maquinas de guerra.;;;;;;;;;x
ie_ca_goblin_trade_emporium_1;Goblin Trade Emporium (Level 1);Emporium Commercial Gobelin (Niveau 1);Goblin-Handelsemporium (Stufe 1);;Emporio Comercial Goblin (Nivel 1);;;;;;;;;x
ie_ca_goblin_trade_emporium_1_desc;A small goblin trading post dealing in exotic goods from across Azeroth.;Un petit comptoir gobelin commercant des biens exotiques de tout Azeroth.;Ein kleiner Goblin-Handelsposten, der mit exotischen Waren aus ganz Azeroth handelt.;;Un pequeno puesto comercial goblin que comercia con bienes exoticos de todo Azeroth.;;;;;;;;;x
ie_ca_goblin_trade_emporium_2;Goblin Trade Emporium (Level 2);Emporium Commercial Gobelin (Niveau 2);Goblin-Handelsemporium (Stufe 2);;Emporio Comercial Goblin (Nivel 2);;;;;;;;;x
